;Año_F;Semestre;Año.Semestre;Población;Fallecido;TMA;Cambio%;;;;;;
0;2016;2016.1;20162016;3059122;43;1,406;0;;2016;83;2,7132E-05;100000;2,713196793
1;2016;2016.2;20162016;3059122;40;1,308;6,977;;2017;135;4,4064E-05;100000;4,40639639
2;2017;2017.1;20172017;3063728;69;2,252;-72,241;;2018;148;4,82392E-05;100000;4,823921959
3;2017;2017.2;20172017;3063728;66;2,154;4,348;;2019;104;3,38538E-05;100000;3,385384708
4;2018;2018.1;20182018;3068043;69;2,249;-4,398;;2020;80;2,60108E-05;100000;2,601079578
5;2018;2018.2;20182018;3068043;79;2,575;-14,493;;2021;96;3,11806E-05;100000;3,118061501
6;2019;2019.1;20192019;3072029;57;1,855;27,942;;;646;;;3,508006822
7;2019;2019.2;20192019;3072029;47;1,53;17,544;;;;;;
8;2020;2020.1;20202020;3075646;31;1,008;34,12;;;;;;
9;2020;2020.2;20202020;3075646;49;1,593;-58,065;;;;;;
10;2021;2021.1;20212021;3078836;56;1,819;-14,167;;;;;;
11;2021;2021.2;20212021;3078836;40;1,299;28,571;;;;;;
12;2022;2022.1;20222022;3078836;2;0,065;95;;;;;;
